artifact_group,dataset,cwe,task_rows,effective_rows,vulnerable_rows,functional_rows,effective_rate,vulnerable_nonfunctional_rate,functional_not_vulnerable_rate,neither_rate,mean_attempts,mean_attempt_to_success,first_attempt_success_rate
main,llmseceval,CWE-434,1755,1577,1577,1745,0.8985754985754986,0.0,0.09572649572649573,0.005698005698005698,2.9367521367521365,2.6087507926442615,0.32022792022792024
main,llmseceval,CWE-476,1755,928,928,1754,0.5287749287749288,0.0,0.47065527065527063,0.0005698005698005698,5.644444444444445,3.8685344827586206,0.17435897435897435
main,llmseceval,CWE-502,1755,635,635,1746,0.36182336182336183,0.0,0.6330484330484331,0.005128205128205128,6.938461538461539,3.453543307086614,0.11168091168091168
main,llmseceval,CWE-522,1755,1755,1755,1755,1.0,0.0,0.0,0.0,1.4433048433048432,1.4433048433048432,0.6472934472934473
main,llmseceval,CWE-732,1560,1160,1160,1522,0.7435897435897436,0.0,0.23205128205128206,0.02435897435897436,4.1506410256410255,3.2370689655172415,0.22564102564102564
main,llmseceval,CWE-787,1755,1057,1057,1752,0.6022792022792023,0.0,0.396011396011396,0.0017094017094017094,5.074643874643875,2.968779564806055,0.18461538461538463
main,llmseceval,CWE-798,1365,822,822,1354,0.6021978021978022,0.0,0.38974358974358975,0.00805860805860806,5.425641025641026,3.7445255474452557,0.12673992673992673
main,securityeval,CWE-020,1080,959,959,1080,0.887962962962963,0.0,0.11203703703703703,0.0,2.5907407407407406,1.9040667361835244,0.5009259259259259
main,securityeval,CWE-022,720,715,715,720,0.9930555555555556,0.0,0.006944444444444444,0.0,1.3263888888888888,1.302097902097902,0.7722222222222223
main,securityeval,CWE-078,360,355,355,360,0.9861111111111112,0.0,0.013888888888888888,0.0,1.875,1.8450704225352113,0.5638888888888889
main,securityeval,CWE-079,540,534,534,540,0.9888888888888889,0.0,0.011111111111111112,0.0,1.2481481481481482,1.2172284644194757,0.8685185185185185
main,securityeval,CWE-080,180,180,180,180,1.0,0.0,0.0,0.0,1.9166666666666667,1.9166666666666667,0.6111111111111112
main,securityeval,CWE-089,360,307,307,360,0.8527777777777777,0.0,0.14722222222222223,0.0,3.7805555555555554,3.560260586319218,0.23333333333333334
main,securityeval,CWE-090,360,360,360,360,1.0,0.0,0.0,0.0,1.15,1.15,0.8611111111111112
main,securityeval,CWE-094,540,450,450,540,0.8333333333333334,0.0,0.16666666666666666,0.0,3.1481481481481484,2.2666666666666666,0.5851851851851851
main,securityeval,CWE-095,180,180,180,180,1.0,0.0,0.0,0.0,1.05,1.05,0.9722222222222222
main,securityeval,CWE-099,180,180,180,180,1.0,0.0,0.0,0.0,1.0222222222222221,1.0222222222222221,0.9833333333333333
main,securityeval,CWE-113,360,357,357,360,0.9916666666666667,0.0,0.008333333333333333,0.0,1.3527777777777779,1.330532212885154,0.7972222222222223
main,securityeval,CWE-116,360,354,354,360,0.9833333333333333,0.0,0.016666666666666666,0.0,1.2916666666666667,1.2457627118644068,0.8416666666666667
