dataset,model,budget,strategy,display_strategy,seeds,mean_unsafe_and_functional_at_q,ci95_unsafe_and_functional_at_q,mean_q_at_success,mean_queries,mean_queries_per_task,complete_seed_count,min_completed_tasks,max_completed_tasks
securityeval,Qwen/Qwen2.5-Coder-0.5B-Instruct,16,classical_boundary_witness_comment,Classical Boundary Witness,"7,19,31,43,59",0.971900826446281,0.01212173302161475,3.334954985338617,446.8,3.6925619834710743,5,121,121
securityeval,Qwen/Qwen2.5-Coder-0.5B-Instruct,16,fair_random_comment,Random Search,"7,19,31,43,59",0.9041322314049587,0.016677219071350825,3.4440328396969813,563.0,4.652892561983471,5,121,121
securityeval,Qwen/Qwen2.5-Coder-0.5B-Instruct,16,fair_risk_prior_comment,Risk Prior,"7,19,31,43,59",0.7752066115702478,0.003239669421487592,2.833584991992679,701.0,5.793388429752066,5,121,121
securityeval,Qwen/Qwen2.5-Coder-0.5B-Instruct,16,insec_fixed_pool_comment,INSEC-style Fixed-Pool Search,"7,19,31,43,59",0.8016528925619835,0.0,2.868041237113402,662.2,5.472727272727273,5,121,121
securityeval,Qwen/Qwen2.5-Coder-0.5B-Instruct,16,qscout_qbw_comment,QScout-QBW,"7,19,31,43,59",1.0,0.0,2.6280991735537187,318.0,2.6280991735537187,5,121,121
securityeval,Qwen/Qwen2.5-Coder-1.5B-Instruct,4,aot_ensemble_fixed_pool_comment,AOT-style Ensemble,"7,19,31,43,59",0.7074380165289256,0.003967768508971084,1.621450068399453,280.4,2.3173553719008266,5,121,121
securityeval,Qwen/Qwen2.5-Coder-1.5B-Instruct,4,classical_boundary_witness_comment,Classical Boundary Witness,"7,19,31,43,59",0.7322314049586777,0.00825956879887754,1.6364804965579858,274.6,2.2694214876033056,5,121,121
securityeval,Qwen/Qwen2.5-Coder-1.5B-Instruct,4,fair_random_comment,Random Search,"7,19,31,43,59",0.6809917355371902,0.01889035655189554,1.5109532743679084,279.0,2.3057851239669422,5,121,121
securityeval,Qwen/Qwen2.5-Coder-1.5B-Instruct,4,fair_risk_prior_comment,Risk Prior,"7,19,31,43,59",0.6975206611570248,0.003967768508971084,1.4737815126050422,270.8,2.2380165289256198,5,121,121
securityeval,Qwen/Qwen2.5-Coder-1.5B-Instruct,4,insec_fixed_pool_comment,INSEC-style Fixed-Pool Search,"7,19,31,43,59",0.6380165289256199,0.003239669421487592,1.4118215118215118,284.2,2.3487603305785125,5,121,121
securityeval,Qwen/Qwen2.5-Coder-1.5B-Instruct,4,qscout_qbw_comment,QScout-QBW,"7,19,31,43,59",0.9008264462809917,0.007244121051073675,2.0236184474716583,268.6,2.2198347107438012,5,121,121
securityeval,Qwen/Qwen2.5-Coder-1.5B-Instruct,8,aot_ensemble_fixed_pool_comment,AOT-style Ensemble,"7,19,31,43,59",0.8165289256198347,0.0032396694214876357,2.2185322613894045,396.8,3.279338842975206,5,121,121
securityeval,Qwen/Qwen2.5-Coder-1.5B-Instruct,8,classical_boundary_witness_comment,Classical Boundary Witness,"7,19,31,43,59",0.8644628099173554,0.012121733021614749,2.393056534660308,381.6,3.1537190082644626,5,121,121
securityeval,Qwen/Qwen2.5-Coder-1.5B-Instruct,8,fair_random_comment,Random Search,"7,19,31,43,59",0.7950413223140496,0.018750942421048643,2.1598601914229176,406.2,3.3570247933884296,5,121,121
securityeval,Qwen/Qwen2.5-Coder-1.5B-Instruct,8,fair_risk_prior_comment,Risk Prior,"7,19,31,43,59",0.7933884297520661,0.0,2.0666666666666664,398.4,3.2925619834710744,5,121,121
securityeval,Qwen/Qwen2.5-Coder-1.5B-Instruct,8,insec_fixed_pool_comment,INSEC-style Fixed-Pool Search,"7,19,31,43,59",0.7884297520661157,0.003967768508971084,2.3814254385964913,432.0,3.5702479338842976,5,121,121
securityeval,Qwen/Qwen2.5-Coder-1.5B-Instruct,8,qscout_qbw_comment,QScout-QBW,"7,19,31,43,59",0.9917355371900827,0.0,2.3983333333333334,295.8,2.4446280991735536,5,121,121
securityeval,Qwen/Qwen2.5-Coder-1.5B-Instruct,16,aot_ensemble_fixed_pool_comment,AOT-style Ensemble,"7,19,31,43,59",0.8760330578512396,0.007244121051073723,2.957508291978403,553.6,4.575206611570247,5,121,121
securityeval,Qwen/Qwen2.5-Coder-1.5B-Instruct,16,classical_boundary_witness_comment,Classical Boundary Witness,"7,19,31,43,59",0.9801652892561984,0.003967768508971139,3.0356217063096427,398.4,3.2925619834710744,5,121,121
securityeval,Qwen/Qwen2.5-Coder-1.5B-Instruct,16,fair_random_comment,Random Search,"7,19,31,43,59",0.9421487603305785,0.017744400210084738,3.3165225760325576,490.2,4.051239669421488,5,121,121
securityeval,Qwen/Qwen2.5-Coder-1.5B-Instruct,16,fair_risk_prior_comment,Risk Prior,"7,19,31,43,59",0.8297520661157025,0.006479338842975184,2.5191427142714273,582.6,4.8148760330578515,5,121,121
securityeval,Qwen/Qwen2.5-Coder-1.5B-Instruct,16,insec_fixed_pool_comment,INSEC-style Fixed-Pool Search,"7,19,31,43,59",0.8512396694214877,0.0,3.0233009708737866,599.4,4.953719008264462,5,121,121
securityeval,Qwen/Qwen2.5-Coder-1.5B-Instruct,16,qscout_qbw_comment,QScout-QBW,"7,19,31,43,59",1.0,0.0,2.512396694214876,304.0,2.512396694214876,5,121,121
