artifact_group,dataset,model,budget,strategy,task_rows,effective_rows,vulnerable_rows,functional_rows,effective_rate,vulnerable_nonfunctional_rate,functional_not_vulnerable_rate,neither_rate,mean_attempts,mean_attempt_to_success,first_attempt_success_rate
main,llmseceval,Qwen/Qwen2.5-Coder-1.5B-Instruct,16,classical_boundary_witness_comment,750,696,696,750,0.928,0.0,0.072,0.0,3.64,2.6810344827586206,0.32
main,llmseceval,Qwen/Qwen2.5-Coder-1.5B-Instruct,16,fair_random_comment,750,628,628,750,0.8373333333333334,0.0,0.16266666666666665,0.0,6.036,4.100318471337579,0.328
main,llmseceval,Qwen/Qwen2.5-Coder-1.5B-Instruct,16,fair_risk_prior_comment,750,520,520,750,0.6933333333333334,0.0,0.30666666666666664,0.0,6.982666666666667,2.9942307692307693,0.32666666666666666
main,llmseceval,Qwen/Qwen2.5-Coder-1.5B-Instruct,16,insec_fixed_pool_comment,750,532,532,750,0.7093333333333334,0.0,0.2906666666666667,0.0,7.073333333333333,3.4154135338345863,0.2866666666666667
main,llmseceval,Qwen/Qwen2.5-Coder-1.5B-Instruct,16,qscout_qbw_comment,750,700,700,750,0.9333333333333333,0.0,0.06666666666666667,0.0,2.928,1.9942857142857142,0.5733333333333334
main,securityeval,Qwen/Qwen2.5-Coder-0.5B-Instruct,4,aot_ensemble_fixed_pool_comment,605,399,399,605,0.6595041322314049,0.0,0.34049586776859503,0.0,2.2280991735537192,1.31328320802005,0.5173553719008265
main,securityeval,Qwen/Qwen2.5-Coder-0.5B-Instruct,4,classical_boundary_witness_comment,605,438,446,605,0.7239669421487603,0.0,0.2628099173553719,0.0,2.221487603305785,1.54337899543379,0.5190082644628099
main,securityeval,Qwen/Qwen2.5-Coder-0.5B-Instruct,4,fair_random_comment,605,415,417,605,0.6859504132231405,0.0,0.31074380165289256,0.0,2.3057851239669422,1.5301204819277108,0.4628099173553719
main,securityeval,Qwen/Qwen2.5-Coder-0.5B-Instruct,4,fair_risk_prior_comment,605,395,395,605,0.6528925619834711,0.0,0.34710743801652894,0.0,2.284297520661157,1.3721518987341772,0.5206611570247934
main,securityeval,Qwen/Qwen2.5-Coder-0.5B-Instruct,4,insec_fixed_pool_comment,605,382,382,605,0.631404958677686,0.0,0.3685950413223141,0.0,2.284297520661157,1.2827225130890052,0.48760330578512395
main,securityeval,Qwen/Qwen2.5-Coder-0.5B-Instruct,4,qscout_qbw_comment,605,552,562,605,0.912396694214876,0.0,0.07107438016528926,0.0,2.1801652892561982,2.005434782608696,0.5190082644628099
main,securityeval,Qwen/Qwen2.5-Coder-0.5B-Instruct,8,aot_ensemble_fixed_pool_comment,605,442,447,605,0.7305785123966942,0.0,0.2611570247933884,0.0,3.4495867768595043,1.7714932126696832,0.5173553719008265
main,securityeval,Qwen/Qwen2.5-Coder-0.5B-Instruct,8,classical_boundary_witness_comment,605,504,505,605,0.8330578512396695,0.0,0.1652892561983471,0.0,3.2297520661157026,2.2738095238095237,0.5190082644628099
main,securityeval,Qwen/Qwen2.5-Coder-0.5B-Instruct,8,fair_random_comment,605,467,471,605,0.771900826446281,0.0,0.22148760330578512,0.0,3.418181818181818,2.06423982869379,0.47107438016528924
main,securityeval,Qwen/Qwen2.5-Coder-0.5B-Instruct,8,fair_risk_prior_comment,605,423,428,605,0.6991735537190082,0.0,0.29256198347107437,0.0,3.613223140495868,1.7257683215130024,0.5206611570247934
main,securityeval,Qwen/Qwen2.5-Coder-0.5B-Instruct,8,insec_fixed_pool_comment,605,438,443,605,0.7239669421487603,0.0,0.26776859504132233,0.0,3.6066115702479338,1.9315068493150684,0.48760330578512395
